Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount,Approx_VIX_Level,Comments
10/10/2025,Sell to Close,VIX 12/17/2025 17.00 C,CALL CBOE VOLATILITY IDX$17 EXP 12/17/25,10,$4.60,$10.81,$4589.19,,
10/10/2025,Sell to Close,VIX 11/19/2025 16.00 C,CALL CBOE VOLATILITY IDX$16 EXP 11/19/25,10,$4.80,$10.81,$4789.19,,
10/09/2025,Sell to Close,VIX 11/19/2025 20.00 C,CALL CBOE VOLATILITY IDX$20 EXP 11/19/25,10,$2.08,$10.81,$2069.19,,
10/08/2025,Sell to Close,VIX 11/19/2025 21.00 C,CALL CBOE VOLATILITY IDX$21 EXP 11/19/25,10,$1.83,$9.31,$1820.69,,
09/29/2025,Sell to Close,VIX 10/22/2025 19.00 C,CALL CBOE VOLATILITY IDX$19 EXP 10/22/25,10,$1.20,$9.31,$1190.69,,
09/29/2025,Buy to Open,VIX 11/19/2025 16.00 C,CALL CBOE VOLATILITY IDX$16 EXP 11/19/25,10,$3.65,$10.81,-$3660.81,,
09/29/2025,Sell to Close,VIX 10/22/2025 21.00 C,CALL CBOE VOLATILITY IDX$21 EXP 10/22/25,10,$0.91,$8.01,$901.99,,
09/15/2025,Sell to Close,VIX 10/22/2025 22.00 C,CALL CBOE VOLATILITY IDX$22 EXP 10/22/25,10,$1.08,$9.31,$1070.69,,
09/15/2025,Sell to Close,VIX 10/22/2025 23.00 C,CALL CBOE VOLATILITY IDX$23 EXP 10/22/25,10,$0.98,$8.01,$971.99,,
09/11/2025,Buy to Open,VIX 12/17/2025 17.00 C,CALL CBOE VOLATILITY IDX$17 EXP 12/17/25,10,$3.90,$10.81,-$3910.81,,
09/02/2025,Sell to Close,VIX 11/19/2025 19.00 C,CALL CBOE VOLATILITY IDX$19 EXP 11/19/25,10,$3.70,$10.81,$3689.19,,
09/02/2025,Sell to Close,VIX 10/22/2025 20.00 C,CALL CBOE VOLATILITY IDX$20 EXP 10/22/25,10,$2.65,$10.81,$2639.19,,
09/02/2025,Sell to Close,VIX 09/17/2025 20.00 C,CALL CBOE VOLATILITY IDX$20 EXP 09/17/25,15,$1.33,$13.96,$1981.04,,
08/29/2025,Sell to Close,VIX 09/17/2025 20.00 C,CALL CBOE VOLATILITY IDX$20 EXP 09/17/25,15,$0.80,$12.01,$1187.99,,
08/22/2025,Buy to Open,VIX 09/17/2025 20.00 C,CALL CBOE VOLATILITY IDX$20 EXP 09/17/25,15,$0.88,$12.01,-$1332.01,,
08/22/2025,Buy to Open,VIX 10/22/2025 20.00 C,CALL CBOE VOLATILITY IDX$20 EXP 10/22/25,10,$2.12,$10.81,-$2130.81,,
08/22/2025,Buy to Open,VIX 11/19/2025 19.00 C,CALL CBOE VOLATILITY IDX$19 EXP 11/19/25,10,$3.17,$10.81,-$3180.81,,
08/13/2025,Buy to Open,VIX 11/19/2025 20.00 C,CALL CBOE VOLATILITY IDX$20 EXP 11/19/25,10,$3.26,$10.81,-$3270.81,14.56,VIX at ~0 decile based on the YTD VIX data
08/12/2025,Buy to Open,VIX 09/17/2025 20.00 C,CALL CBOE VOLATILITY IDX$20 EXP 09/17/25,10,$1.54,$9.31,-$1549.31,14.87,Doubled existing position to reduce cost basis
08/12/2025,Buy to Open,VIX 10/22/2025 19.00 C,CALL CBOE VOLATILITY IDX$19 EXP 10/22/25,10,$3.05,$10.81,-$3060.81,15.22,
08/12/2025,Buy to Open,VIX 11/19/2025 21.00 C,CALL CBOE VOLATILITY IDX$21 EXP 11/19/25,10,$3.00,$10.81,-$3010.81,15.17,
08/01/2025,Sell to Close,VIX 09/17/2025 20.00 C,CALL CBOE VOLATILITY IDX$20 EXP 09/17/25,5,$3.05,$5.40,$1519.60,20.48,"Sold half of position due to theta drag, held remaining half for vol spike"
07/23/2025,Buy to Open,VIX 10/22/2025 21.00 C,CALL CBOE VOLATILITY IDX$21 EXP 10/22/25,10,$2.92,$10.81,-$2930.81,15.4,"Continued low volatility, opened long dated call position; VIX level at 4th historical decile"
07/17/2025,Buy to Open,VIX 10/22/2025 23.00 C,CALL CBOE VOLATILITY IDX$23 EXP 10/22/25,10,$2.75,$10.81,-$2760.81,16.86,"Continued low volatility, opened long dated call position; VIX level at 4th historical decile"
06/26/2025,Buy to Open,VIX 10/22/2025 22.00 C,CALL CBOE VOLATILITY IDX$22 EXP 10/22/25,10,$2.94,$10.81,-$2950.81,16.43,Opened long dated call position; VIX level at 4th historical decile
06/26/2025,Buy to Open,VIX 09/17/2025 20.00 C,CALL CBOE VOLATILITY IDX$20 EXP 09/17/25,10,$3.00,$10.81,-$3010.81,16.37,Opened long dated call position; VIX level at 4th historical decile
05/13/2025,Sell to Close,VIX 08/20/2025 45.00 P,PUT CBOE VOLATILITY IDX $45 EXP 08/20/25,2,$25.40,$2.16,$5077.84,18.06,
